epsilon,d,sigma_beta,A_beta,R0,mass_proxy
0.1,6.000000000000002e-05,0.2,0.0,0.5648574454579087,0.0
0.1,6.000000000000002e-05,0.2,0.2,1.8281756937911393,0.008000000000000002
0.1,6.000000000000002e-05,0.2,0.4,3.124004357055266,0.016000000000000004
0.1,6.000000000000002e-05,0.2,0.6000000000000001,4.433184092820531,0.024000000000000007
0.1,6.000000000000002e-05,0.2,0.8,5.7488930928182205,0.03200000000000001
0.1,6.000000000000002e-05,0.2,1.0,7.06819660512664,0.04000000000000001
0.1,0.0002400000000000001,0.4,0.0,0.5822879476341195,0.0
0.1,0.0002400000000000001,0.4,0.2,1.8800343077074888,0.03200000000000001
0.1,0.0002400000000000001,0.4,0.4,3.188925567574511,0.06400000000000002
0.1,0.0002400000000000001,0.4,0.6000000000000001,4.502130482194462,0.09600000000000003
0.1,0.0002400000000000001,0.4,0.8,5.818341241334878,0.12800000000000003
0.1,0.0002400000000000001,0.4,1.0,7.136957092126835,0.16000000000000003
0.1,0.0005400000000000001,0.6000000000000001,0.0,0.6004890848351087,0.0
0.1,0.0005400000000000001,0.6000000000000001,0.2,1.8938825890921516,0.07200000000000002
0.1,0.0005400000000000001,0.6000000000000001,0.4,3.2031257865072855,0.14400000000000004
0.1,0.0005400000000000001,0.6000000000000001,0.6000000000000001,4.521096754407116,0.21600000000000008
0.1,0.0005400000000000001,0.6000000000000001,0.8,5.844141157547359,0.2880000000000001
0.1,0.0005400000000000001,0.6000000000000001,1.0,7.170239283673132,0.3600000000000001
0.1,0.0009600000000000003,0.8,0.0,0.6048030072324982,0.0
0.1,0.0009600000000000003,0.8,0.2,1.9054337542712507,0.12800000000000003
0.1,0.0009600000000000003,0.8,0.4,3.2269306268776274,0.25600000000000006
0.1,0.0009600000000000003,0.8,0.6000000000000001,4.554532093815062,0.3840000000000001
0.1,0.0009600000000000003,0.8,0.8,5.884536820740464,0.5120000000000001
0.1,0.0009600000000000003,0.8,1.0,7.215706822271501,0.6400000000000001
0.1,0.0015000000000000002,1.0,0.0,0.6087797345908089,0.0
0.1,0.0015000000000000002,1.0,0.2,1.924473440572092,0.2
0.1,0.0015000000000000002,1.0,0.4,3.253415510794195,0.4
0.1,0.0015000000000000002,1.0,0.6000000000000001,4.584809188249549,0.6000000000000001
0.1,0.0015000000000000002,1.0,0.8,5.917054024958463,0.8
0.1,0.0015000000000000002,1.0,1.0,7.249691438569117,1.0
0.3,0.00054,0.2,0.0,0.4347937561028488,0.0
0.3,0.00054,0.2,0.2,1.6761368691255425,0.008000000000000002
0.3,0.00054,0.2,0.4,2.9595746518692128,0.016000000000000004
0.3,0.00054,0.2,0.6000000000000001,4.25792919445574,0.024000000000000007
0.3,0.00054,0.2,0.8,5.566280254136445,0.03200000000000001
0.3,0.00054,0.2,1.0,6.881629371611929,0.04000000000000001
0.3,0.00216,0.4,0.0,0.4985583918966302,0.0
0.3,0.00216,0.4,0.2,1.742602016407899,0.03200000000000001
0.3,0.00216,0.4,0.4,3.0450920413425395,0.06400000000000002
0.3,0.00216,0.4,0.6000000000000001,4.364590749038432,0.09600000000000003
0.3,0.00216,0.4,0.8,5.690297610774553,0.12800000000000003
0.3,0.00216,0.4,1.0,7.018843314806606,0.16000000000000003
0.3,0.004860000000000001,0.6000000000000001,0.0,0.5160102129474379,0.0
0.3,0.004860000000000001,0.6000000000000001,0.2,1.8151936326094988,0.07200000000000002
0.3,0.004860000000000001,0.6000000000000001,0.4,3.141886162240797,0.14400000000000004
0.3,0.004860000000000001,0.6000000000000001,0.6000000000000001,4.47247214605928,0.21600000000000008
0.3,0.004860000000000001,0.6000000000000001,0.8,5.804308752297461,0.2880000000000001
0.3,0.004860000000000001,0.6000000000000001,1.0,7.1367012263771095,0.3600000000000001
0.3,0.00864,0.8,0.0,0.551356712118982,0.0
0.3,0.00864,0.8,0.2,1.8760815032394313,0.12800000000000003
0.3,0.00864,0.8,0.4,3.207872369068371,0.25600000000000006
0.3,0.00864,0.8,0.6000000000000001,4.540564277904169,0.3840000000000001
0.3,0.00864,0.8,0.8,5.87354637619508,0.5120000000000001
0.3,0.00864,0.8,1.0,7.206658098501953,0.6400000000000001
0.3,0.0135,1.0,0.0,0.5833201781723449,0.0
0.3,0.0135,1.0,0.2,1.9142680241003374,0.2
0.3,0.0135,1.0,0.4,3.2471665637606018,0.4
0.3,0.0135,1.0,0.6000000000000001,4.580317688528836,0.6000000000000001
0.3,0.0135,1.0,0.8,5.9135508517991235,0.8
0.3,0.0135,1.0,1.0,7.246820830951977,1.0
1.0,0.006000000000000001,0.2,0.0,0.27392841248906197,0.0
